================================================================================
Search Response Debug v3.2.0
Session start: 2026-01-13 17:58:47
================================================================================

[2026-01-13 17:58:47] [INFO] [Thread-512752423064] ================================================================================
[2026-01-13 17:58:47] [INFO] [Thread-512752423064] 🚀 Search Response Debug v3.2.0 initializing...
[2026-01-13 17:58:47] [INFO] [Thread-512752423064] ================================================================================
[2026-01-13 17:58:47] [INFO] [Thread-493599114176] ================================================================================
[2026-01-13 17:58:47] [INFO] [Thread-493599114176] 🚀 Search Response Debug v3.2.0 loading...
[2026-01-13 17:58:47] [INFO] [Thread-493599114176] 🔧 Installing comprehensive search hooks...
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$1IP6Yys_6MSTc5KQmht_nrw-Ghs
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$1WMmykckNotqXEWkexIVvEQUYJk
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$1hh_7QMlkUSEIjqXslvPQZLjmcI
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$1q8mGcCuPdRgK6LXYrDTd_6g1nM
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$1vNz5xSYQ2D_jOT3X_PanOjPo2Y
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$1w_HSber7WJp0AfxJ-J-viHgTsU
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$22m008RA8HH8mQDAeajhrQSwP1Y
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$28UigA0NApiCm7TW4Ib8Y_yEx1w
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$2NOBRLgF8UuPAmmGZC6e3WUTnrk
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$2U4G23sr4bcIxWck3HPyhLuNxyo
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$2UfE0ndX2UP63D9hN2fm0-CtoqE
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$2VsuGXtRREpnc_PJ1aQdUSKsb-I
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$2X64JqqDUM2_JrV46BG33tCgwKk
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$2iEJ-zac8vv8GKy8BQhpGRtRsBc
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$2jj4J0xF4pO75UT06IoTtufbfhs
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$2mGPwevgIcME01n5tMZGnnjtt_Y
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$2s-IznDGjWv49Idwk7oGgkqRoNM
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$2sQRM4Lv9bOna17htlIinwDBkTs
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$3NfKmsVxz4sYS2ymCs6ulqZMpFk
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$3hIdoXo5D7ousV8gZbipuzH9e14
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$4529qQdXchep0-V2RngUCQyYIH0
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$4JROEca_tNZWJO-WjWW2reUyyAg
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$4LyOeaUxbj-CYL-qKNxojP3CCrE
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$4Nu_wW-UbLNEXClrapGGvouQhmc
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$4Vqjzlh7E1L3zbRUiEDljvEjlU0
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$4ZXFtFghXwSZjCSISyQf6GqmLMA
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$4lF5JgrkuWZsdiZGe7-wPu_IT2k
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$5-_uJ_Qmw0K7L2-Wx5zOqTxETbY
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$50JWbdffP9T4MoLVbzJZCm0f-n4
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$517mNmh7tAjRaUOUe2zMg3ZulKU
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$53NykKafowNLGocRhpttSbyiW_E
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$5G0zfFtva5hJKnBGU1QVOuMXR78
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$5HttRSnss268UkvEupnKXa2TyUY
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$5IsuMWD4vEnNmROuLwGotAWFW5E
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$5J1Q5e2ziBJ8cn-w-L9HhnkbBZI
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$5M5Q0vV6Tsy0GYwuo6l4gvfnVt8
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$5RE6nVNiX99J4HtOBRsiz9-EeG0
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$5VVdfxx8guPyF_-LSP9aPobyGMs
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$5VlKQTykPSdxHJGcAC7scVhB2_c
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$5VrDkm4TL0FdgoSXNV_J7lrMik0
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$5d6AyK2tZFToiVo6I2DvgcKbVm0
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$6Bg3E68BLge5oiZEFfKuPVeBq1g
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$6IwAxcUegGUgUg4eCfdgN1fJMBo
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$6TOo-iJCRjAQL5a-FrTGIL3dXks
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$6b3ZiU8HoLz5Mslh8_cBnIGmXV8
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$6lHYu7X88M4vTLIMT6O39Py2iKM
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$6lr3fWz-oNqdar6HVKLo3oOBIX4
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$6olPzkGRNoxJuSlBqoGmZxhW8DA
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$6v5wRDy0CMMK9xToyqSpcG57qNQ
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$75kR4grn5eZvEDoSaOpAlApudX4
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$7936LQcTBxDgKs0jpLnZJu-VVmE
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$7KAFiPMRbl-Ttn-5-Lal5Zgvmfc
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$7MxvuMGCCcGOE5gOD1atF8UR1Xw
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$7Ow_Bxh8He2lrXwfrbeXeu9xxrY
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$7ccmm6me-KHMpaHRHiDSXo8sjBs
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$7qAhIMslIe2pGDdMA2UpCcPNA7Y
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$80UzTghkDmXHNSu3DUySVQd9PhM
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$82wvtjbRrR_YbcJBLOp1-PEuEmE
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$84TXcvT4Q6QPRQ5L1Q2unygGRuk
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$86-T_FyP2DdkUsJZbJTmZWwoXoc
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$8GujwAKJwShZyhX5cds0hXxDwDc
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$8IbuXldiomsSwnfvEl5nEQ0LXr8
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$8Iwh9ZDjKzNKISi7jfvMKlRBQ8U
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$8L_k5bT5q5BexYT2N5JOXuRhfio
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$8ajy-62hvbmO0UCL-KLM2vmfqdw
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$9K8S_oDenW9K4Jyfat8YodKCqGQ
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$9LaTimawRjqFL5GaqDtEO5KWua4
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$9OE6xw2VafhF1wqI9PIjwXWb250
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$9W7EbonlSIf9FGf_cEbxSaGdmbk
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$9YlWe-de-2fVD3uH3-wLk2LeNug
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$9ZIuMsnRcZL6nstlGkIWreOXBVA
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$9dRden9yh8DaA2v13_dYXgejeNY
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$9qEJfWriCoBwWnmklFMb-EGEV-k
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$9uDSh-G0LkHb3AP_MI0DyN4m39Q
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$9ycUfX_S1DZ8-bnq0Do7iZlEJHs
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$AAmtYQUnIq_HPA3E5flw68aD1jM
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$AMM6Fvnx1iEtDX3quhAj4LV4Fhw
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$AWnUzBQr264KL3rzM5vZfvEnaoA
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$AhO4zdu7Mlh0cJbQfKHFAUllGxQ
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$AmV-xM4h76ZgfsHyietOK9hs0nY
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$Ax8_H16dk-VcMiS8rmbnrvLKH4Q
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$BGmr9IFvVWhzB9_HPXwq0tpmqU4
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$Bg_L5s7Dv-Q09yxsmVBP6xFKfMA
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$Bhs-ZJD9RVS2IJKwSvUC9QDHmoo
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$Bs2Y4538a4A3KGUldrzKmRhzSbQ
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$BuHac0LxmAXlo93ojmoZKcFF4Vw
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$CHC-cWuKBuGqXVOh93zn-3TtwRc
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$CKVssAcbIHCRl9bsmY0asD725pU
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$CbFnaYf0bHV4PDPL9kB3BlqmCqc
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$D7C03npqqfZTWxd89Ni8Gc3WVDE
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$DDo7pWJ4EsszY2au4gChWBbXj6g
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$DIhBh-YeJxHV8RaCqajtyJZXfsQ
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$DJmT5Ms7QPsnyl90qaDwGbuqFhw
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$DMG6p7siPSFebq3xQ5HCDBagBPg
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$DQDPF3Qf7U1qGoqBUHk10BHrYSc
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$Dgi44UjuEK9TEp9RDBS7Mo59Azg
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$DiQTkDFMwBhwHLzTc2QkAFxIuKw
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$Dlbf3WK93zaDigvAxBEKcWPE4QE
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$DpHx-B-p_7tP04UnGfkWmeglgYk
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$DvifK9KoYirflDopMxKQcmXZpSw
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$E8zJSG-FHiAZgltzClHCh3cLF10
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$E9hLJAJAR7PqmjhItzSYOl_ICKQ
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$EEFRfxAdVUJf3-jh4QgJ-3MQPng
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$Epa3mdVj9YqhqEq4zAwg0vZEDxg
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$Et7c8iN94cfr25u7liuVBAnM0_o
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$F5ZtvJgJRPB4Dn3zfFhcw-HxQkQ
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$FAeaXKyG99ztHitBTFQ46drnBCE
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$FIb15TfFENANkgPr0qsDKq-sgJg
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$FMcUmrnbx4D44mclUQ9srr7ORWQ
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$FN8yv-oe6Qlc_UvBy4ba7uO3zh4
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$FPOeBs5_Gpc6hljyR_wC-5bk3T8
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$FSX4Pe7lYcf03NrCJIwoDRq2HQE
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$FU-a7kD6T0pTbrITSItcQ8FClPQ
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$FeiFe7Fle6OHlM1Mxj1ocPJi34w
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$Ft6uvytK3nWSFPLNYJLGfBbZ9d4
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$FtWdkdJ5R-egEzRwQzYA41gPdEQ
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$FtcU5QRvtlZ7P995myWjRmvH4Vg
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$G1Ty-1wLXI1AtHIsIhas6oWuG84
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$GAlb4ZlQwEe1y2EbLQiQduD1LMk
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$GB9R3RtD8zRntf5zQMaDOZpoubc
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$GKAuoLf4Z-lIXUOfuKqsK4b8rt4
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$GQKKJRhIKcYcuoUk4-EL8GuhJD4
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$GSu5qJRFHRke2htPg6sGHILXTWo
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$H6f2O6MyuX3EigHXccJ_CayxfW8
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$HLDabMPpT7p6aAVjA9v7q6_lZBY
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$HWtqFtv0CPC2h7zEgR21IYfL7pc
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$HeUU15JdHC3APTu70LUmhQ27Mx0
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$HnljVSNJCtQHZ0mVsXWRiCRiXKo
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$HokYIPR7d1RVHTZuZsJ1VKH0V4I
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$Hvui9t4_XoQmVJ-mlL4z5iXMS8Y
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$IElhaYyBjjBb1T2TOsidhMJ-144
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$IdAKjKHR5zT0ZU8TKmyPgmjOLuo
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$Iuo2ljGKtPiqOWc6FpHL8Zi5E8E
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$Iw76DTsHdplR1VFUYAzrvWSyynw
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$J0tV9qRapeA3ap6suP_DAVkSLww
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$JRDicTdZFRdXrNXxe4_qnmLhBmU
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$JYaFYFnF4AVEeldrklNYFRcZta8
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$JZOaWtjRQZlTntzd0ilHFa528wk
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$Jgtg6kkil7BYae9oOgIkaRb4Xqk
[2026-01-13 17:58:47] [DETAILED] [Thread-493599114176] ✅ Hooked ChatActivity lambda: $r8$lambda$K0Btb2tQI6Z8_Wn0HwWZZAICH2I
